LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
18001,8751,119,21486,Adams
18003,124359,1249,309414,Allen
18005,26876,263,68969,Bartholomew
18007,2985,28,7409,Benton
18009,3701,78,9200,Blackford
18011,17386,194,55140,Boone
18013,2984,62,6668,Brown
18015,4926,67,11768,Carroll
18017,14090,177,32113,Cass
18019,41291,415,97000,Clark
18021,8155,98,21396,Clay
18023,10719,137,26846,Clinton
18025,3098,40,8289,Crawford
18027,9069,162,21317,Daviess
18029,16256,140,36946,Dearborn
18031,8582,144,20118,Decatur
18033,13654,160,31211,De Kalb
18035,30191,483,81391,Delaware
18037,15090,175,33750,Dubois
18039,61477,757,164383,Elkhart
18041,8378,156,17154,Fayette
18043,24235,319,62335,Floyd
18045,6424,105,13808,Fountain
18047,5205,59,12025,Franklin
18049,5774,112,14632,Fulton
18051,14364,154,27309,Gibson
18053,21036,379,48463,Grant
18055,9107,146,22476,Greene
18057,96944,683,299564,Hamilton
18059,25238,290,70591,Hancock
18061,13373,160,31883,Harrison
18063,47804,587,126291,Hendricks
18065,16226,253,37499,Henry
18067,30065,474,72562,Howard
18069,14368,170,32790,Huntington
18071,15182,139,34393,Jackson
18073,11067,156,27331,Jasper
18075,5904,80,13511,Jay
18077,11231,168,27189,Jefferson
18079,8172,110,19322,Jennings
18081,51015,630,138303,Johnson
18083,14246,163,27310,Knox
18085,22957,249,61121,Kosciusko
18087,6543,104,14347,Lagrange
18089,134438,1925,384840,Lake
18091,31801,398,88505,La Porte
18093,14516,281,32562,Lawrence
18095,39768,667,104592,Madison
18097,268696,3136,813394,Marion
18099,14072,206,38644,Marshall
18101,2619,29,7032,Martin
18103,10908,167,26896,Miami
18105,34476,319,121536,Monroe
18107,12319,171,29455,Montgomery
18109,19602,286,49930,Morgan
18111,3119,72,7696,Newton
18113,15737,173,38253,Noble
18115,1769,19,4004,Ohio
18117,5941,100,13824,Orange
18119,6907,133,18164,Owen
18121,4345,49,11787,Parke
18123,5883,67,14426,Perry
18125,4497,53,9150,Pike
18127,47697,602,130024,Porter
18129,7909,63,16842,Posey
18131,3538,90,9200,Pulaski
18133,11196,133,28934,Putnam
18135,7013,160,17783,Randolph
18137,10091,147,24208,Ripley
18139,6084,61,13099,Rush
18141,84866,939,250402,St. Joseph
18143,9473,110,21058,Scott
18145,17143,175,33352,Shelby
18147,6156,62,13551,Spencer
18149,5626,108,15762,Starke
18151,11487,122,27271,Steuben
18153,6403,84,13984,Sullivan
18155,2663,22,6827,Switzerland
18157,60936,455,167570,Tippecanoe
18159,3996,88,10309,Tipton
18161,2347,22,5523,Union
18163,70796,670,153764,Vanderburgh
18165,4932,82,11376,Vermillion
18167,35132,445,91726,Vigo
18169,10451,171,23933,Wabash
18171,2380,29,4618,Warren
18173,24854,256,51935,Warrick
18175,7179,94,18281,Washington
18177,23519,356,53523,Wayne
18179,7610,139,19463,Wells
18181,8268,100,19728,White
18183,11448,88,25548,Whitley
